F10.7,SSN,Datetime,Kp,Ap
150.8,163,1970-01-01,2.0,7.0
144.5,118,1970-01-02,4.0,27.0
137.1,110,1970-01-03,2.333,9.0
131.5,98,1970-01-04,1.667,6.0
126.5,93,1970-01-05,2.667,12.0
117.6,81,1970-01-06,1.0,4.0
113.0,43,1970-01-07,1.667,6.0
113.3,52,1970-01-08,1.333,5.0
119.6,84,1970-01-09,2.333,9.0
134.5,119,1970-01-10,0.333,2.0
160.2,150,1970-01-11,1.667,6.0
171.7,195,1970-01-12,2.667,12.0
173.0,205,1970-01-13,1.333,5.0
171.9,227,1970-01-14,2.333,9.0
180.1,219,1970-01-15,1.0,4.0
174.3,205,1970-01-16,3.333,18.0
180.6,227,1970-01-17,1.0,4.0
179.4,238,1970-01-18,1.0,4.0
175.3,234,1970-01-19,3.0,15.0
168.5,188,1970-01-20,1.667,6.0
177.0,167,1970-01-21,2.333,9.0
160.4,147,1970-01-22,1.0,4.0
153.4,112,1970-01-23,2.0,7.0
143.6,103,1970-01-24,2.667,12.0
149.6,139,1970-01-25,1.0,4.0
156.5,174,1970-01-26,0.333,2.0
162.9,184,1970-01-27,1.667,6.0
162.0,221,1970-01-28,2.333,9.0
163.3,218,1970-01-29,1.333,5.0
154.9,195,1970-01-30,2.333,9.0
143.4,185,1970-01-31,0.333,2.0
134.6,171,1970-02-01,4.0,27.0
133.2,136,1970-02-02,4.667,39.0
123.8,116,1970-02-03,1.333,5.0
119.4,96,1970-02-04,2.333,9.0
121.1,102,1970-02-05,3.0,15.0
132.0,132,1970-02-06,1.0,4.0
139.4,147,1970-02-07,0.333,2.0
152.6,144,1970-02-08,0.667,3.0
154.2,174,1970-02-09,0.333,2.0
170.3,188,1970-02-10,1.0,4.0
184.4,248,1970-02-11,0.667,3.0
201.2,217,1970-02-12,0.667,3.0
197.7,205,1970-02-13,1.0,4.0
196.3,176,1970-02-14,0.667,3.0
201.8,163,1970-02-15,1.333,5.0
193.4,197,1970-02-16,2.0,7.0
194.1,201,1970-02-17,3.0,15.0
197.8,202,1970-02-18,2.667,12.0
198.6,170,1970-02-19,0.667,3.0
196.5,177,1970-02-20,0.667,3.0
191.2,181,1970-02-21,0.333,2.0
183.1,187,1970-02-22,0.667,3.0
183.9,232,1970-02-23,1.0,4.0
186.1,235,1970-02-24,1.0,4.0
179.7,245,1970-02-25,0.333,2.0
178.4,202,1970-02-26,0.333,2.0
176.9,212,1970-02-27,3.333,18.0
174.2,207,1970-02-28,2.667,12.0
175.7,194,1970-03-01,2.0,7.0
172.9,183,1970-03-02,3.0,15.0
