Datetime,F10.7,SSN,F15,xray_flux
2001-03-01,129.0,76,109.0,2.9194436e-07
2001-03-02,127.4,77,109.0,3.2875207e-07
2001-03-03,137.3,110,112.0,5.612443e-07
2001-03-04,138.7,134,122.0,1.5291664e-06
2001-03-05,153.4,152,117.0,8.0218916e-07
2001-03-06,155.4,133,124.0,1.1979563e-06
2001-03-07,174.0,124,131.0,2.3284665e-06
2001-03-08,164.8,92,131.0,3.1729007e-06
2001-03-09,159.2,115,135.0,3.2253588e-06
2001-03-10,158.0,142,129.0,1.603833e-06
2001-03-11,155.8,132,126.0,9.197796e-07
2001-03-12,155.7,139,127.0,1.0873018e-06
2001-03-13,145.6,108,123.0,7.492013e-07
2001-03-14,140.7,117,119.0,
2001-03-15,134.7,110,119.0,4.8093386e-07
2001-03-16,138.5,102,119.0,1.2245581e-06
2001-03-17,132.9,75,114.0,4.200966e-07
2001-03-18,138.5,89,111.0,1.235871e-06
2001-03-19,145.7,96,117.0,1.5022822e-06
2001-03-20,152.1,117,120.0,1.7612607e-06
2001-03-21,158.2,129,123.0,2.0036284e-06
2001-03-22,181.8,124,131.0,2.2638712e-06
2001-03-23,178.9,165,146.0,1.2911084e-06
2001-03-24,217.5,218,148.0,
2001-03-25,215.7,272,175.0,
2001-03-26,262.6,319,187.0,
2001-03-27,272.4,352,208.0,4.3566474e-06
2001-03-28,272.6,343,220.0,3.9047034e-05
2001-03-29,261.0,340,219.0,1.0183445e-05
2001-03-30,256.3,338,208.0,4.689948e-06
2001-03-31,245.3,300,211.0,6.996189e-06
2001-04-01,257.2,279,195.0,7.8404795e-05
2001-04-02,227.9,249,189.0,0.000107334505
2001-04-03,223.1,254,188.0,7.504991e-06
2001-04-04,205.0,201,173.0,1.5384243e-05
2001-04-05,192.80706222333563,200,162.0,1.4076184e-05
2001-04-06,187.45420348820244,165,161.0,2.6533112e-06
2001-04-07,180.0,150,152.0,1.1745417e-06
2001-04-08,169.7,173,142.0,8.451946e-07
2001-04-09,165.4,165,148.0,1.3084856e-06
2001-04-10,170.4,171,133.0,2.6630787e-06
2001-04-11,160.3,173,129.0,1.5756501e-06
2001-04-12,149.8,155,123.0,1.0713142e-05
2001-04-13,137.8,147,117.0,6.3144114e-07
2001-04-14,139.6,138,112.0,8.4831e-07
2001-04-15,135.1,113,110.0,1.4177591e-06
2001-04-16,124.3,87,104.0,1.4730222e-06
2001-04-17,127.1,42,99.0,9.006311e-07
2001-04-18,133.0,57,103.0,9.4837367e-07
2001-04-19,145.8,93,109.0,1.2445225e-05
2001-04-20,182.2,129,119.0,1.74122e-06
2001-04-21,193.0,174,136.0,1.1772768e-06
2001-04-22,194.6,164,149.0,1.700308e-06
2001-04-23,198.6,159,158.0,1.6548536e-06
2001-04-24,195.8,164,156.0,1.1345015e-06
2001-04-25,196.3,179,160.0,5.4355014e-06
2001-04-26,198.7,179,155.0,7.963589e-06
2001-04-27,193.3,192,157.0,1.4201004e-06
2001-04-28,190.4,161,153.0,1.6907209e-06
2001-04-29,194.5,170,152.0,1.6401515e-06
2001-04-30,190.7,168,154.0,1.9656102e-06
2001-05-01,213.0,157,150.0,1.2860605e-06
2001-05-02,179.0,174,153.0,
2001-05-03,175.1,169,146.0,2.901336e-06
2001-05-04,178.6,194,145.0,1.2914832e-06
2001-05-05,163.5,174,143.0,7.7383527e-07
2001-05-06,157.8,135,127.0,2.3615344e-06
2001-05-07,140.9,116,119.0,2.3909106e-06
2001-05-08,131.1,81,118.0,5.323278e-07
2001-05-09,131.9,93,108.0,6.5869574e-07
2001-05-10,133.0,88,118.0,7.752122e-07
2001-05-11,139.4,118,108.0,5.5742055e-07
2001-05-12,141.0,124,111.0,1.1133649e-06
2001-05-13,141.9,125,114.0,1.0352383e-06
2001-05-14,141.2,150,113.0,7.449641e-07
2001-05-15,145.2,141,114.0,1.287328e-06
2001-05-16,140.9,146,115.0,7.9408056e-07
2001-05-17,150.8,140,115.0,8.765078e-07
2001-05-18,141.5,137,117.0,1.5495805e-06
2001-05-19,144.6,125,115.0,1.1675103e-06
2001-05-20,144.9,121,119.0,1.3651452e-06
2001-05-21,153.8,140,122.0,9.913086e-07
2001-05-22,155.8,178,127.0,5.880452e-07
2001-05-23,162.8,197,132.0,7.656416e-07
2001-05-24,168.60929171375122,174,133.0,1.0576983e-06
2001-05-25,166.1,165,131.0,8.104047e-07
2001-05-26,151.3,174,130.0,5.0792676e-07
2001-05-27,150.8,182,126.0,6.697886e-07
2001-05-28,146.9,151,125.0,4.850428e-07
2001-05-29,142.3,125,120.0,5.600772e-07
2001-05-30,136.0,110,116.0,4.895038e-07
2001-05-31,136.6,101,116.0,8.717857e-07
2001-06-01,136.8,88,112.0,1.3360022e-06
2001-06-02,137.8,150,115.0,6.641115e-07
2001-06-03,149.5,150,115.0,7.143605e-07
2001-06-04,158.3,145,127.0,6.9449914e-07
2001-06-05,158.0,161,127.0,1.3441742e-06
2001-06-06,162.4,180,126.0,1.0772977e-06
2001-06-07,169.8,195,134.0,1.2349623e-06
2001-06-08,185.7,215,142.0,1.5548228e-06
2001-06-09,182.4,254,149.0,1.4576501e-06
2001-06-10,168.0,241,150.0,2.8018892e-06
2001-06-11,167.4,262,142.0,1.1245046e-06
